timestamp,aX,aY,aZ,gX,gY,gZ
11011,658,1.152,-459,-52.673,-67.627,38.940
11020,649,1.118,-444,-42.664,-69.092,34.668
11028,618,1.071,-380,-27.954,-71.960,32.776
11037,575,1.026,-304,-14.526,-73.181,31.982
11045,529,994,-209,-4.639,-72.632,30.823
11054,497,963,-129,610,-69.275,27.710
11062,471,927,-69,1.160,-62.683,22.827
11071,455,897,-53,-1.709,-53.040,17.700
11079,457,857,-75,-6.409,-42.236,12.756
11087,473,813,-131,-11.780,-31.372,8.301
11096,489,785,-196,-16.418,-22.583,4.517
11105,494,772,-259,-18.127,-17.212,1.770
11113,497,754,-292,-15.381,-14.587,122
11121,496,731,-301,-10.193,-13.611,-549
11130,484,705,-295,-4.700,-12.329,-488
11139,470,682,-282,122,-10.559,-122
11147,465,661,-277,2.991,-8.057,183
,,,,,,
11655,935,897,-928,-13.977,-75.256,53.833
11664,928,1.010,-934,-16.113,-81.421,49.927
11672,915,1.104,-899,-14.587,-90.454,45.227
11681,893,1.185,-823,-8.667,-100.647,40.771
11689,853,1.272,-722,-854,-109.314,37.292
11697,793,1.384,-627,6.348,-114.746,35.034
11706,731,1.522,-554,12.451,-116.760,31.860
11714,672,1.644,-505,17.883,-116.272,25.818
11723,625,1.731,-457,22.949,-114.929,15.686
11731,573,1.764,-396,27.893,-114.624,2.197
11739,533,1.743,-313,33.203,-114.258,-13.123
11748,503,1.686,-216,38.635,-113.647,-28.931
11757,480,1.623,-127,44.067,-110.779,-41.809
11765,454,1.573,-57,49.438,-105.530,-50.842
11773,433,1.520,-3,55.542,-98.572,-58.411
11782,405,1.466,54,62.256,-91.125,-65.979
11791,369,1.409,98,67.810,-82.092,-73.181
11799,343,1.333,128,72.083,-72.510,-80.383
11807,322,1.247,142,74.219,-61.523,-87.891
11816,297,1.157,142,73.975,-50.659,-94.604
11824,287,1.076,135,72.510,-40.161,-100.220
11833,277,1.009,122,71.106,-30.579,-104.797
11841,271,952,123,71.106,-22.400,-108.215
11850,258,901,112,72.998,-14.771,-110.229
11858,255,843,121,77.148,-8.240,-112.305
11866,241,768,148,83.008,-2.808,-114.258
11875,234,693,187,89.539,2.686,-115.601
11883,219,633,203,93.262,11.108,-115.295
11892,213,574,205,94.849,21.301,-114.624
11900,208,521,198,94.360,32.837,-113.281
11909,201,476,159,92.712,44.922,-111.328
11918,212,425,120,89.233,56.213,-110.168
11926,221,368,88,84.412,65.613,-110.779
11934,216,336,58,79.651,72.876,-111.877
11943,216,312,11,76.782,78.125,-113.037
11951,222,278,-35,75.928,81.604,-114.502
11960,219,236,-61,76.477,83.557,-116.943
11968,211,174,-70,79.834,83.130,-118.652
11977,206,99,-62,84.961,81.360,-118.347
11985,202,31,-32,89.478,80.872,-115.906
11994,192,-36,1,91.858,83.557,-110.779
12002,192,-89,19,91.675,89.844,-103.394
12011,203,-138,12,88.318,100.098,-95.093
12019,232,-194,-24,80.627,113.525,-86.853
12027,269,-241,-85,67.383,127.197,-79.346
12036,296,-248,-156,51.147,139.343,-72.266
12044,314,-206,-246,36.438,147.888,-65.125
12053,334,-152,-337,27.527,151.672,-59.326
12061,347,-117,-416,25.696,150.391,-56.396
12070,356,-119,-459,32.715,143.616,-55.176
12078,349,-166,-461,45.959,132.507,-54.260
12087,346,-265,-432,59.509,121.704,-53.284
12095,360,-376,-393,66.162,115.784,-52.124
12103,371,-472,-377,61.584,116.638,-48.462
12112,391,-520,-396,47.974,122.070,-42.175
12121,408,-514,-436,31.555,128.784,-33.142
12129,424,-478,-510,17.944,135.559,-22.949
12138,435,-422,-594,10.376,141.296,-11.902
12146,444,-388,-698,9.521,143.433,-1.465
12154,465,-378,-797,12.390,141.296,7.446
12163,506,-411,-886,14.771,135.193,13.550
12172,551,-458,-942,11.841,126.587,16.785
12180,563,-474,-973,3.296,117.126,19.470
12188,580,-446,-1.018,-6.897,108.826,23.865
12197,597,-422,-1.054,-14.587,101.379,30.029
12205,593,-388,-1.057,-16.479,93.018,35.767
12214,581,-361,-1.028,-12.207,83.130,43.213
12222,569,-334,-972,-5.676,74.585,53.162
12230,546,-283,-947,-183,70.374,65.002
12239,520,-236,-960,2.686,71.960,77.209
12247,500,-164,-1.026,793,77.515,89.600
12256,506,-71,-1.132,-4.944,84.229,99.060
12264,523,18,-1.252,-14.465,87.769,103.394
12273,536,121,-1.342,-25.208,83.191,103.577
12282,557,215,-1.387,-30.273,69.092,100.586
12290,503,277,-1.399,-27.771,51.331,96.863
12298,494,202,-1.304,-18.555,33.447,96.313
12307,532,134,-1.228,-6.409,13.733,90.576
12316,565,18,-1.127,-9.399,12.329,88.684
12324,561,-8,-1.054,-14.954,427,90.576
12332,583,-15,-1.029,-24.048,1.221,96.802
12341,600,15,-1.043,-36.560,8.179,104.492
12349,601,106,-1.103,-45.715,13.794,113.220
12358,587,210,-1.204,-50.232,16.479,120.728
12366,595,304,-1.325,-52.063,15.076,123.413
12375,613,366,-1.440,-52.795,10.986,123.779
12383,630,394,-1.494,-48.096,-366,121.887
12391,661,390,-1.509,-40.100,-16.785,119.995
12400,702,402,-1.450,-33.081,-36.255,118.347
12408,708,421,-1.341,-30.212,-52.429,119.263
12417,729,475,-1.258,-30.579,-64.941,121.216
12426,742,564,-1.208,-33.630,-73.181,122.681
12434,745,664,-1.196,-39.185,-77.881,122.498
12443,763,769,-1.206,-46.021,-80.566,120.667
