timestamp,aX,aY,aZ,gX,gY,gZ
8182,554,-786,-235,40.466,-2.625,-45.593
8191,535,-788,-249,37.964,-3.845,-40.588
8199,533,-807,-257,36.377,-1.282,-37.659
8207,540,-818,-266,33.752,2.991,-37.109
8216,539,-828,-277,28.687,8.301,-38.452
8224,539,-821,-266,22.217,15.198,-40.649
8233,551,-805,-242,14.771,23.315,-41.443
8241,567,-805,-226,9.277,33.020,-40.405
8250,604,-800,-210,7.385,43.030,-38.940
8258,653,-811,-203,8.057,49.927,-38.269
8266,708,-818,-202,11.841,51.086,-38.513
8275,754,-844,-231,16.174,44.189,-39.490
8283,771,-875,-263,19.836,29.663,-40.100
8292,749,-901,-302,22.400,7.446,-41.138
8301,687,-922,-362,23.132,-18.982,-42.114
8309,578,-926,-435,23.071,-46.387,-42.908
8317,411,-942,-530,23.682,-70.435,-43.152
8326,230,-999,-630,25.024,-87.280,-43.335
8334,70,-1.067,-703,23.071,-92.468,-41.077
8343,-35,-1.126,-740,16.541,-84.900,-35.828
8351,-67,-1.152,-735,6.836,-67.078,-29.297
8360,-29,-1.148,-680,-4.150,-41.870,-22.827
8368,60,-1.103,-594,-14.099,-14.404,-16.846
8377,176,-1.036,-500,-20.203,10.132,-11.597
8385,301,-971,-410,-24.536,28.320,-6.897
8394,421,-903,-325,-26.855,39.673,-2.808
8402,537,-840,-246,-26.917,44.434,1.343
8411,624,-799,-194,-25.574,43.823,6.042
8419,694,-775,-163,-22.522,39.185,10.315
8427,741,-759,-147,-19.470,32.043,13.977
8436,775,-747,-139,-16.357,25.330,15.808
8445,783,-755,-153,-11.780,20.081,14.648
8453,766,-774,-167,-5.310,14.282,11.719
8461,727,-805,-175,61,6.775,9.033
8470,682,-833,-187,1.953,61,7.629
8478,636,-838,-192,1.038,-4.578,7.141
8487,601,-823,-192,-1.465,-7.629,6.958
8496,581,-809,-182,-4.944,-7.568,8.118
8504,575,-799,-168,-8.667,-4.211,9.644
8512,585,-786,-151,-10.925,916,9.949
8521,619,-774,-132,-10.620,5.676,9.033
8529,655,-751,-117,-10.071,6.958,9.155
8537,675,-748,-107,-9.216,4.761,10.498
8546,692,-751,-99,-7.385,549,11.414
8554,697,-751,-102,-5.432,-5.066,11.841
8563,698,-762,-94,-3.357,-9.644,12.451
8572,696,-772,-94,-2.197,-12.817,12.451
