timestamp,aX,aY,aZ,gX,gY,gZ
11572,250,38,978,-17.578,-8.484,7.202
11581,258,61,954,-15.259,-7.629,8.789
11589,268,98,943,-11.169,-7.935,9.827
11598,270,119,944,-6.104,-9.583,9.460
11606,267,131,948,-1.221,-11.536,7.751
,,,,,,
12538,440,397,-2.125,66.223,64.209,-6.348
12546,548,301,-2.109,60.608,26.123,-13.672
12555,592,173,-1.933,44.861,-17.944,-22.644
12563,550,76,-1.640,20.508,-62.561,-31.189
12571,511,43,-1.359,-7.507,-97.046,-36.194
12580,493,43,-1.060,-32.898,-123.657,-38.818
12589,471,63,-783,-52.307,-145.203,-40.649
12597,453,102,-562,-62.134,-159.363,-39.978
12606,454,113,-411,-60.913,-165.344,-37.415
12614,465,91,-318,-51.453,-165.955,-33.630
12622,485,53,-254,-39.856,-166.321,-29.236
12631,513,39,-175,-31.189,-168.274,-25.269
12639,563,35,-63,-26.794,-172.791,-24.292
12648,572,14,60,-25.146,-178.467,-26.550
12656,548,-8,188,-25.330,-183.472,-28.870
12665,519,-24,297,-28.015,-185.913,-29.358
12673,518,-64,390,-34.241,-183.777,-29.114
12682,517,-143,470,-44.617,-177.551,-29.053
12690,492,-236,555,-60.425,-171.204,-27.039
12698,498,-258,623,-80.627,-161.377,-20.386
12707,541,-187,731,-98.755,-149.170,-10.376
12715,589,-80,807,-108.337,-140.137,-1.099
12724,605,36,875,-104.492,-137.878,6.531
12732,626,169,921,-87.219,-135.864,13.489
12741,653,280,934,-60.974,-135.498,16.479
12749,687,303,901,-33.813,-138.611,11.963
12758,727,201,814,-15.869,-140.564,366
12766,714,99,740,-11.353,-142.395,-14.404
12775,704,-16,830,-15.320,-151.184,-26.489
12783,608,-139,1.007,-27.832,-165.100,-35.217
12792,505,-188,1.153,-45.837,-169.373,-38.452
12800,402,-165,1.212,-60.669,-160.339,-32.288
12808,408,-105,1.203,-66.101,-140.808,-20.508
12817,465,-43,1.139,-60.242,-120.544,-8.850
12826,501,9,1.055,-46.204,-106.995,366
12834,511,58,995,-28.931,-102.905,8.606
12842,504,96,948,-12.085,-105.896,13.000
12851,503,125,923,-854,-110.718,11.414
12860,534,101,891,244,-113.647,2.930
12868,552,3,907,-11.292,-116.882,-10.681
12876,471,-116,1.037,-31.738,-124.023,-24.475
12885,353,-177,1.216,-55.725,-130.615,-32.593
12893,209,-165,1.321,-76.050,-126.892,-31.372
12902,167,-112,1.335,-87.830,-109.375,-21.301
12910,228,-10,1.257,-89.783,-83.191,-8.362
12919,320,97,1.138,-80.933,-59.998,3.418
12927,370,186,1.072,-61.035,-48.584,14.465
12936,395,266,1.060,-34.180,-47.424,21.851
12944,432,310,1.080,-8.423,-51.819,22.400
12953,446,272,1.109,9.460,-60.974,14.465
12961,416,165,1.111,15.625,-71.472,1.526
12969,375,52,1.123,11.108,-77.942,-9.949
12978,324,-31,1.165,732,-77.820,-15.503
12987,262,-74,1.207,-12.451,-74.524,-15.991
12995,200,-56,1.203,-25.330,-62.927,-11.658
13003,204,12,1.127,-34.424,-42.419,-3.296
13012,291,111,1.025,-36.438,-22.827,4.333
13020,380,198,966,-29.846,-13.489,9.033
13029,409,256,949,-16.602,-16.113,10.376
13037,411,262,957,-1.770,-26.001,7.385
13046,401,213,983,9.460,-37.109,610
13054,363,135,1.014,12.756,-44.250,-6.958
13063,315,82,1.034,10.254,-46.509,-12.268
13071,282,48,1.053,4.883,-45.410,-13.916
13080,262,15,1.067,-977,-41.809,-12.634
13088,235,3,1.062,-7.080,-35.095,-9.460
13097,225,26,1.030,-12.939,-25.879,-5.188
13105,270,72,976,-16.357,-15.869,-793
13113,328,120,945,-16.296,-10.925,2.319
13122,338,143,948,-12.268,-13.733,2.197
13130,318,134,970,-6.348,-20.142,183
13139,294,103,992,-1.465,-25.024,-2.075
13147,273,63,1.003,1.160,-26.550,-3.174
13156,257,36,1.001,916,-25.330,-2.808
13164,246,20,1.000,-1.709,-22.644,-1.282
13173,233,12,987,-5.920,-18.677,793
13181,231,23,957,-11.414,-13.794,3.418
13190,253,58,928,-16.174,-9.216,6.348
13198,279,100,915,-19.104,-7.446,7.812
13206,280,137,924,-18.799,-9.033,7.629
13215,286,156,934,-15.686,-12.024,6.470
13224,277,154,948,-11.841,-15.686,4.639
13232,271,138,968,-8.545,-18.066,2.380
13240,255,118,976,-6.348,-19.043,916
13249,250,102,972,-5.798,-18.250,366
13257,245,93,955,-6.836,-16.541,366
13266,243,95,939,-8.850,-15.137,1.343
13274,226,119,948,-10.864,-14.099,2.197
13283,191,261,1.064,-10.559,-10.864,2.258
13291,186,296,1.328,7.263,732,1.099
13300,239,206,1.078,31.921,19.592,4.089
13308,290,112,950,35.645,15.564,7.202
13316,336,64,992,30.090,7.874,4.578
13325,276,50,1.036,18.921,2.563,366
13334,246,51,1.058,7.507,2.686,-1.099
13342,257,53,1.002,61,5.859,244
13350,278,64,957,-4.395,7.568,1.892
13359,284,77,916,-7.507,7.874,2.625
13367,281,105,905,-9.338,7.385,2.319
13376,280,109,904,-8.179,6.775,1.953
13384,277,122,892,-5.554,5.127,1.953
13393,281,130,892,-2.808,3.296,1.831
13401,258,126,887,-671,1.221,1.709
13410,260,131,900,305,-2.319,1.831
13419,253,136,919,1.587,-3.906,2.686
13427,246,146,924,2.014,-3.662,3.479
13436,249,142,920,2.747,-2.319,3.479
13444,253,130,909,3.296,-1.343,3.174
13452,252,123,911,3.479,-977,2.869
13461,256,119,921,2.930,-1.038,2.747
13469,258,108,931,2.502,-1.160,2.136
13477,255,98,943,2.197,-1.709,1.343
13486,253,92,950,2.625,-2.991,916
13494,250,86,943,2.991,-3.540,854
13503,249,76,932,2.502,-3.845,793
